,country_code,amount,dataset,max_cap_pipe2store_M_m3_per_d,max_cap_store2pipe_M_m3_per_d,max_workingGas_M_m3
0,AT,5,EMAP_Raw,no_info,no_info,no_info
1,BE,6,EMAP_Raw,no_info,no_info,no_info
2,BG,1,EMAP_Raw,no_info,no_info,no_info
3,CZ,7,EMAP_Raw,no_info,no_info,no_info
4,DE,42,EMAP_Raw,no_info,no_info,no_info
5,DK,2,EMAP_Raw,no_info,no_info,no_info
6,ES,3,EMAP_Raw,no_info,no_info,no_info
7,FR,14,EMAP_Raw,no_info,no_info,no_info
8,HR,1,EMAP_Raw,no_info,no_info,no_info
9,HU,5,EMAP_Raw,no_info,no_info,no_info
10,IT,9,EMAP_Raw,no_info,no_info,no_info
11,LV,1,EMAP_Raw,no_info,no_info,no_info
12,NL,7,EMAP_Raw,no_info,no_info,no_info
13,PL,9,EMAP_Raw,no_info,no_info,no_info
14,PT,1,EMAP_Raw,no_info,no_info,no_info
15,RO,7,EMAP_Raw,no_info,no_info,no_info
16,SE,1,EMAP_Raw,no_info,no_info,no_info
17,SK,5,EMAP_Raw,no_info,no_info,no_info
18,AT,5,GIE_Raw,98.99688884184,78.48967662456,92.2185
19,BE,1,GIE_Raw,15.980013198,8.30960686296,9.0013
20,BG,1,GIE_Raw,3.4128405768000003,3.2148581124000004,6.27
21,CZ,2,GIE_Raw,48.823418494680006,36.75308758176,34.8316
22,DE,49,GIE_Raw,668.7187705884002,376.08843214788004,254.10709999999992
23,DK,1,GIE_Raw,18.553785235200003,9.5031582912,10.82
24,ES,1,GIE_Raw,18.90072593472,11.96474026524,31.6188
25,FR,7,GIE_Raw,228.40576976280002,114.68181389052,135.00889999999998
26,HR,1,GIE_Raw,5.71037993748,4.28302064652,5.6049
27,HU,2,GIE_Raw,79.17601583448001,44.970302628,67.4258
28,IT,3,GIE_Raw,268.47364946280004,157.68171961092,194.2305
29,LV,1,GIE_Raw,10.39596492828,0.0,24.219
30,NL,5,GIE_Raw,262.2701989116,122.04299047164001,137.1218
31,PL,3,GIE_Raw,51.107759024399996,28.613179973999998,33.2012
32,PT,1,GIE_Raw,7.923069670560001,2.2626567360000003,3.57
33,RO,7,GIE_Raw,32.326765341960005,24.7430941818,34.265100000000004
34,SE,1,GIE_Raw,0.05750919204,0.824926935,0.105
35,SK,2,GIE_Raw,43.8436881282,38.74422550944,37.0658
36,AT,10,IGG,81.45564249600001,102.10238521200002,8921.3821056924
37,BE,1,IGG,8.3058357684,15.980013198,771.471669612
38,BG,1,IGG,0.0,0.0,752.3333647200001
39,CZ,10,IGG,110.9402034457803,129.666678698657,3558.4226017272954
40,DE,72,IGG,638.1200527981497,781.3300771291289,28158.99255828354
41,DK,3,IGG,34.24625247299999,36.78805709801974,1655.7069594421132
42,ES,5,IGG,21.5612331468,33.2893372284,3207.2405013888006
43,FR,22,IGG,355.6637464540593,316.9112840621482,13121.7972617092
44,HR,2,IGG,4.6478740452,7.212218346,577.9202413200001
45,HU,5,IGG,44.6026209084,78.8347317768,6328.4057694456005
46,IE,1,IGG,1.7629867068,2.6963326104000003,238.52173092
47,IT,21,IGG,379.2763087100359,298.3607388431757,9980.561579364707
48,LT,1,IGG,3.111153012,8.296408032,518.5255020000001
49,LV,1,IGG,0.0,0.0,497.7844819200001
50,NL,6,IGG,136.89739792045592,266.83958073326244,14739.311428407875
51,PL,10,IGG,39.7661921352,72.5181483888,3794.1736587072
52,PT,1,IGG,2.2626567360000003,8.01357594,336.57018948
53,RO,4,IGG,18.7423399632,22.9942490796,1892.0241349068003
54,SE,1,IGG,0.4053926652,1.084189686,9.89912322
55,SI,3,IGG,42.566229846000006,48.599981142000004,3734.4489486132
56,SK,3,IGG,67.28605848372018,67.39427294276665,1430.8620286198661
57,AT,10,INET_Filled,81.45564249600001,102.10238521200002,8921.3821056924
58,BE,1,INET_Filled,8.3058357684,15.980013198,771.471669612
59,BG,1,INET_Filled,0.0,0.0,752.3333647200001
60,CZ,9,INET_Filled,50.24983501199995,84.33110209800006,3458.5013432381484
61,DE,60,INET_Filled,346.40331854519985,604.3509003174004,24991.2095968586
62,DK,3,INET_Filled,17.12076930239999,33.36475911960002,2021.1157332041828
63,ES,5,INET_Filled,21.5612331468,33.2893372284,3207.2405013888006
64,FR,19,INET_Filled,99.38277128354434,191.3001755480113,10108.596739782823
65,HR,2,INET_Filled,4.6478740452,7.212218346,577.9202413200001
66,HU,5,INET_Filled,44.6026209084,78.8347317768,6328.4057694456005
67,IE,1,INET_Filled,1.7629867068,2.6963326104000003,238.52173092
68,IT,20,INET_Filled,101.68756481039995,136.65032524980012,9293.634922157626
69,LT,1,INET_Filled,3.111153012,8.296408032,518.5255020000001
70,LV,1,INET_Filled,0.0,0.0,497.7844819200001
71,NL,5,INET_Filled,126.7182049524,256.5475629168,14216.8096532628
72,PL,10,INET_Filled,39.7661921352,72.5181483888,3794.1736587072
73,PT,1,INET_Filled,2.2626567360000003,8.01357594,336.57018948
74,RO,4,INET_Filled,18.7423399632,22.9942490796,1892.0241349068003
75,SE,1,INET_Filled,0.4053926652,1.084189686,9.89912322
76,SK,3,INET_Filled,42.566229846000006,48.599981142000004,3734.4489486132
77,AT,10,INET_Raw,81.45564249600001,102.10238521200002,8921.3821056924
78,BE,1,INET_Raw,8.3058357684,15.980013198,771.471669612
79,BG,2,INET_Raw,4.5158857356,4.5158857356,1343.452437
80,CZ,9,INET_Raw,27.3970019784,39.8981804448,873.9888752256
81,DE,60,INET_Raw,304.50645798359994,522.8905439532001,20252.9367388356
82,DK,3,INET_Raw,9.5031582912,18.553785235200003,1159.6115772
83,ES,5,INET_Raw,21.5612331468,33.2893372284,3207.2405013888006
84,FR,20,INET_Raw,15.2823607044,46.478740452000004,6231.828037764
85,HR,2,INET_Raw,4.6478740452,7.212218346,577.9202413200001
86,HU,5,INET_Raw,44.6026209084,78.8347317768,6328.4057694456005
87,IE,1,INET_Raw,1.7629867068,2.6963326104000003,238.52173092
88,IT,20,INET_Raw,67.40831526,70.00094277,5416.8662201388015
89,LT,1,INET_Raw,3.111153012,8.296408032,518.5255020000001
90,LV,1,INET_Raw,0.0,0.0,497.7844819200001
91,NL,5,INET_Raw,126.7182049524,256.5475629168,14216.8096532628
92,PL,10,INET_Raw,39.7661921352,72.5181483888,3794.1736587072
93,PT,1,INET_Raw,2.2626567360000003,8.01357594,336.57018948
94,RO,8,INET_Raw,30.743848400399997,33.543886111199996,3282.5304042792004
95,SE,1,INET_Raw,0.4053926652,1.084189686,9.89912322
96,SK,3,INET_Raw,42.566229846000006,48.599981142000004,3734.4489486132
97,AT,1,LKD_Raw,0.96186480621,67.87970208,no_info
98,DE,13,LKD_Raw,182.37396407084086,75.2927608144123,no_info
